Time	rx_bytes	rx_packets	tx_bytes	tx_packets	wtime	pss	rss	swap	vmem	rchar	read_bytes	wchar	write_bytes	stime	utime	nprocs	nthreads
1773141550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141554	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1773141700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
